breed,age,weight
golden retriever,7,9
golden retriever,8,10
golden retriever,9,12
golden retriever,10,15
golden retriever,11,17
golden retriever,13,22
golden retriever,17,30
golden retriever,21,40
golden retriever,26,44
golden retriever,30,45
golden retriever,34,52
golden retriever,39,52
golden retriever,43,60
golden retriever,48,65
golden retriever,52,70
great dane,1,3
great dane,2,4
great dane,3,6
great dane,4,7
great dane,6,18
great dane,8,26
great dane,13,42
great dane,17,60
great dane,21,80
great dane,26,95
great dane,30,105
great dane,34,115
great dane,39,120
great dane,52,135
